codigo_unidade_gestora;codigo_unidade_orcamentaria;numero_empenho;classificacao;data_empenho;codigo_credor;nome_credor;valor_contratado;valor_pago
201157;02090;'0001007;335041;14/03/2025;'43858387000124;ABRIGO TOCA DOS BICHOS;1518.0;1518.0
201157;02090;'0002174;335041;28/04/2025;'43858387000124;ABRIGO TOCA DOS BICHOS;1518.0;1518.0
201157;02090;'0002966;335041;27/05/2025;'43858387000124;ABRIGO TOCA DOS BICHOS;1518.0;1518.0
201157;02090;'0004241;335041;08/07/2025;'43858387000124;ABRIGO TOCA DOS BICHOS;1518.0;1518.0
201157;02040;'0000445;339091;13/02/2025;'00007864997457;ADELANIA CERISE DA SILVA DIAS;960.0;960.0
201157;02040;'0002169;339091;28/04/2025;'00007864997457;ADELANIA CERISE DA SILVA DIAS;960.0;960.0
201157;02040;'0002170;339091;28/04/2025;'00007864997457;ADELANIA CERISE DA SILVA DIAS;1280.0;1280.0
201157;02110;'0002691;339036;12/05/2025;'00007864997457;ADELANIA CERISE DA SILVA DIAS;1239.5;1239.5
201157;02040;'0002735;339091;13/05/2025;'00007864997457;ADELANIA CERISE DA SILVA DIAS;1280.0;1280.0
201157;02040;'0003606;339091;13/06/2025;'00007864997457;ADELANIA CERISE DA SILVA DIAS;1280.0;1280.0
201157;02140;'0000906;339048;10/03/2025;'00006553751471;ADEMIO GOMES DA SILVA;0.0;400.0
201157;02110;'0004548;339039;23/07/2025;'01845824000125;ADIJAILSON COSTA - ME;44990.0;44990.0
201157;02050;'0004201;339030;07/07/2025;'00007468730423;ADIVANA DE AGUIAR ALMEIDA;2497.8;2497.8
201157;02050;'0004202;339030;07/07/2025;'00007468730423;ADIVANA DE AGUIAR ALMEIDA;452.5;452.5
201157;02050;'0004203;339030;07/07/2025;'00007468730423;ADIVANA DE AGUIAR ALMEIDA;2497.8;2497.8
201157;02050;'0004204;339030;07/07/2025;'00007468730423;ADIVANA DE AGUIAR ALMEIDA;1176.5;1176.5
201157;02110;'0002636;339036;12/05/2025;'00065941322100;ADRIANA DIAS DO NASCIMENTO;771.43;771.43
201157;02140;'0000618;339048;24/02/2025;'00005896469403;ADRIANA FERREIRA BENVINDO E OUTROS;1500.0;1250.0
201157;02140;'0000619;339048;24/02/2025;'00009091756403;ADRIANA SILVA CASADO;1500.0;1250.0
201157;02130;'0001681;339031;03/04/2025;'00006801519409;ADRIANO JOSÉ DOS SANTOS;400.0;400.0
201157;02130;'0003827;339031;26/06/2025;'00006801519409;ADRIANO JOSÉ DOS SANTOS;200.0;200.0
201157;02120;'0000668;339048;26/02/2025;'00007824676447;ALDECI DASILVA ANDRADE;500.0;500.0
201157;02110;'0002634;339036;12/05/2025;'00005871993427;ALDECIR BATISTA DIAS FILHO;247.96;247.96
201157;02140;'0001703;339030;07/04/2025;'09356009000104;ALDIZANGELA DIOGO DE BARROS;3438.5;3438.5
